,Title,Author,Vote,Views,Link,Body,Date release
0,Hướng dẫn step-by-step về cách học code tối ưu và bền vững,Văn Khôi Ngô,13,553,https://spiderum.com/bai-dang/Huong-dan-step-by-step-ve-cach-hoc-code-toi-uu-va-ben-vung-wcz,"  Trong xã hội hiện đại, các kĩ năng về công nghệ đặc biệt là lập trình đang ngày càng trở nên quan trọng. Số lượng công việc liên...",4 giờ trước
1,#4 Xây dựng web app multi-tenant đơn giản với Citus data và AspNet Core,Ntech,4,0,https://spiderum.com/bai-dang/4-Xay-dung-web-app-multi-tenant-don-gian-voi-Citus-data-va-AspNet-Core-wcf, Bài viết trước mình có đề cập đến một tính năng nổi bật của Citus Data đó là việc mở rộng multi-tenants. Bạn có thể đọc lại tại đây  # ...,Hôm qua
2,Thiên đường chuột: góc nhìn khác về nghiện ngập,stubbornlove58,19,746,https://spiderum.com/bai-dang/Thien-duong-chuot-goc-nhin-khac-ve-nghien-ngap-wbl," Liệu nghiện ngập có phải là vấn đề của riêng người nghiện thuốc, nghiện rượu hay nghiện ma túy ? Chẳng phải từ “nghiện” cũng được dùng để nói về hành...",14 tháng 12
3,DOScember - Lập trình MS-DOS với chương trình DOS vui có thưởng,Curly Rae Braces,24,879,https://spiderum.com/bai-dang/DOScember-Lap-trinh-MS-DOS-voi-chuong-trinh-DOS-vui-co-thuong-wah," Phần thường là $25 từ mình, gửi qua bitcoin, paypal, hay Amazon Gift Card hoặc séc cho người dầu tiên giải được nhanh hơn chương trình của mình (1...",13 tháng 12
4,"[Stoicism] - Dịch Seneca (76): Về phẩm cách, thứ duy nhất tốt đẹp của con người! ",Andy Luong,12,847,https://spiderum.com/bai-dang/Stoicism-Dich-Seneca-76-Ve-pham-cach-thu-duy-nhat-tot-dep-cua-con-nguoi-w9v,"   Lời tựa  :
                      
Như đã giới thiệu trong series, Seneca thực sự là nguồn cảm hứng Stoicism của mình. Đọc Seneca không chỉ là về...",12 tháng 12
5,"Tách biệt xã hội (Social Isolation), Sự cô độc (Loneliness) và ảnh hưởng của nó.",Xanh và trắng,44,1240,https://spiderum.com/bai-dang/Tach-biet-xa-hoi-Social-Isolation-Su-co-doc-Loneliness-va-anh-huong-cua-no-w86," Buồn, lạc lõng, trầm cảm, cô độc, tách biệt xã hội.  Tất cả những khái niệm này thường được nhắc đến nhưng cũng thường bị lẫn lộn với nhau hay không...",10 tháng 12
6,KHOA HỌC MÀU SẮC - 03,Hưng Delnary,8,882,https://spiderum.com/bai-dang/KHOA-HOC-MAU-SAC-03-w7q,"  -Part 03-    LỘ TRÌNH HỌC MÀU SẮC   Trước khi đi đến nội dung chính của part này, mình sẽ đưa ra một vài câu hỏi:   Bạn làm tác phẩm dành cho điều...",10 tháng 12
7,QUYỀN SỞ HỮU TRÍ TUỆ - TIẾNG NÓI CỦA LỊCH SỬ,Nguyễn Trung hiếu,7,802,https://spiderum.com/bai-dang/QUYEN-SO-HUU-TRI-TUE-TIENG-NOI-CUA-LICH-SU-w6e,"    Màn hình trang chủ Sci-hub, công cụ đã giúp mình vượt qua bao giông bão     Quyền sở hữu trí tuệ (Intellectual Property Rights – IPRs) là một...",9 tháng 12
8,"Khi phục chế những tấm ảnh cũ, làm sao người ta biết nên dùng màu sắc nào?
",(￣ ^ ￣),43,1241,https://spiderum.com/bai-dang/Khi-phuc-che-nhung-tam-anh-cu-lam-sao-nguoi-ta-biet-nen-dung-mau-sac-nao-w2r,"  [ Câu trả lời của JJ Lloyd trên Quora ]   Tôi là một người chỉnh màu chuyên nghiệp, và trong sự nghiệp của mình, tôi đã hiệu chỉnh màu sắc cho gần...",5 tháng 12
9,"[Stoicism] - Dịch Seneca (75): Về: Người hạnh phúc không phải người biết về triết, mà là...",Andy Luong,29,5726,https://spiderum.com/bai-dang/Stoicism-Dich-Seneca-75-Ve-Nguoi-hanh-phuc-khong-phai-nguoi-biet-ve-triet-ma-la-nguoi-ap-dung-duoc-triet-trong-cuoc-song-w2j,"   Lời tựa  :
                      
Như đã giới thiệu trong series, Seneca thực sự là nguồn cảm hứng Stoicism của mình. Đọc Seneca không chỉ là về...",5 tháng 12
